"","MovieID","title","year","genres","Action","Adventure","Animation","Children","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western"
"1","2531","Battle for the Planet of the Apes (1973)","1973","Action|Sci-Fi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2","2579","Following (1998)","1998","Drama",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3","2295","Impostors, The (1998)","1998","Comedy",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","529","Searching for Bobby Fischer (1993)","1993","Drama",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5","196","Species (1995)","1995","Horror|Sci-Fi",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"6","3054","Pokémon: The First Movie (1998)","1998","Animation|Children's",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","1910","I Went Down (1997)","1997","Action|Comedy|Crime",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"8","1157","Symphonie pastorale, La (1946)","1946","Drama",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9","3439","Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991)","1991","Action|Children's|Fantasy",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10","1272","Patton (1970)","1970","Drama|War",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"11","1287","Ben-Hur (1959)","1959","Action|Adventure|Drama",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"12","1051","Trees Lounge (1996)","1996","Drama",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"13","3514","Joe Gould's Secret (2000)","2000","Drama",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"14","670","World of Apu, The (Apur Sansar) (1959)","1959","Drama",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"15","2718","Drop Dead Gorgeous (1999)","1999","Comedy",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","1672","Rainmaker, The (1997)","1997","Drama",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"17","3909","Woman on Top (2000)","2000","Comedy|Romance",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"18","2825","Rosie (1998)","1998","Drama",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"19","1023","Winnie the Pooh and the Blustery Day (1968)","1968","Animation|Children's",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","1130","Howling, The (1980)","1980","Horror",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21","964","Angel and the Badman (1947)","1947","Western",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"22","351","Corrina, Corrina (1994)","1994","Comedy|Drama|Romance",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"23","1029","Dumbo (1941)","1941","Animation|Children's|Musical",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"24","3789","Pawnbroker, The (1965)","1965","Drama",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"25","2081","Little Mermaid, The (1989)","1989","Animation|Children's|Comedy|Musical|Romance",0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"26","1399","Marvin's Room (1996)","1996","Drama",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"27","2956","Someone to Watch Over Me (1987)","1987","Action|Crime|Thriller",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"28","2142","American Tail: Fievel Goes West, An (1991)","1991","Animation|Children's|Comedy",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","2635","Mummy's Curse, The (1944)","1944","Horror",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"30","1477","Love Jones (1997)","1997","Romance",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
